current_belt;gender;organisations
blue belt;Male;[copa,ibjjf,local,us grappling]
brown belt;Male;[naga,smaller]
purple belt;Male;[good fight,ibjjf,naga,us grappling]
purple belt;Male;[ibjjf,naga,victory grappling championship]
blue belt;Male;[ibjjf]
blue belt;Male;[ibjjf]
no rank;Male;[naga]
white belt;Male;[no answer]
brown belt;Male;[ibjjf,naga,newbreed]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[local,naga,oregon open]
white belt;Male;[us grappling]
white belt;Female;[no answer]
purple belt;Male;[ibjjf,us grappling]
white belt;Female;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Male;[good fight,naga]
brown belt;Male;[us grappling]
white belt;Male;[no answer]
purple belt;Male;[us grappling]
white belt;Male;[no answer]
no rank;Male;[smaller]
white belt;Male;[us grappling]
purple belt;Male;[ibjjf,naga]
white belt;Male;[no answer]
white belt;Female;[grappling games]
purple belt;Male;[naga]
white belt;Male;[no answer]
white belt;Male;[ibjjf]
purple belt;Male;[good fight,ibjjf,naga,us grappling]
purple belt;Male;[ibjjf,naga,us grappling]
blue belt;Male;[ibjjf]
blue belt;Male;[naga,us grappling]
purple belt;Male;[in house,local,tap cancer out]
blue belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
purple belt;Female;[agc,grapplers quest,ibjjf]
blue belt;Male;[ibjjf,revolution]
white belt;Male;[regional]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[cbjjf]
blue belt;Male;[ibjjf]
black belt;Male;[no answer]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[smaller]
purple belt;Male;[naga]
purple belt;Male;[ibjjf,naga,us grappling]
black belt;Male;[naga]
white belt;Male;[ibjjf]
purple belt;Male;[no answer]
blue belt;Male;[cbjjf]
white belt;Female;[no answer]
white belt;Male;[no answer]
brown belt;Male;[ibjjf]
no answer;Male;[no answer]
blue belt;Female;[ibjjf]
purple belt;Male;[ibjjf]
blue belt;Male;[ibjjf,naga]
white belt;Male;[no answer]
black belt;Male;[no answer]
black belt;Male;[ibjjf,local,naga,us grappling]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[no answer]
black belt;Male;[gracie nationals,grapplers quest,ibjjf,naga,smaller,us grappling]
white belt;Male;[ibjjf,local]
black belt;Male;[no answer]
blue belt;Male;[fight 2 win]
purple belt;Male;[ibjjf]
blue belt;Male;[ibjjf]
blue belt;Male;[naga]
purple belt;Male;[no answer]
white belt;Male;[grappling industries]
purple belt;Male;[ibjjf,naga]
purple belt;Male;[grappling industries,naga]
blue belt;Male;[local]
blue belt;Male;[no answer]
purple belt;Male;[ibjjf,naga]
purple belt;Male;[no answer]
white belt;Male;[no answer]
white belt;Male;[grappling x]
blue belt;Male;[no answer]
black belt;Male;[ibjjf]
no rank;Male;[no answer]
purple belt;Male;[no answer]
purple belt;Male;[ibjjf,naga]
purple belt;Male;[agf,ibjjf]
blue belt;Male;[c3,combat corner,us grappling]
blue belt;Male;[local,smaller]
purple belt;Male;[ibjjf,naga]
purple belt;Male;[good fight,us grappling]
purple belt;Male;[ibjjf]
brown belt;Male;[ibjjf]
brown belt;Male;[agf,ibjjf,midwest submission challenge,naga]
white belt;Male;[no answer]
purple belt;Male;[local,naga]
blue belt;Male;[no answer]
blue belt;Male;[ibjjf]
purple belt;Female;[ibjjf]
black belt;Male;[ibjjf,naga,us grappling]
blue belt;Male;[no answer]
brown belt;Male;[naga]
blue belt;Male;[us grappling]
no rank;Male;[no answer]
blue belt;Male;[no answer]
purple belt;Male;[ibjjf]
purple belt;Male;[ibjjf,local,naga,uaejjf]
purple belt;Male;[no answer]
brown belt;Male;[cfjjb,ibjjf]
blue belt;Male;[cfjjb,iscbjj]
brown belt;Male;[no answer]
black belt;Male;[adcc,ibjjf,naga,regional]
blue belt;Male;[ibjjf,local]
purple belt;Male;[no answer]
purple belt;Male;[ibjjf]
black belt;Male;[in house]
black belt;Male;[ibjjf]
white belt;Male;[crojj]
blue belt;Male;[local]
brown belt;Male;[local]
blue belt;Male;[ibjjf]
black belt;Male;[adcc,grapplers quest,ibjjf,local,naga,uaejjf]
white belt;Male;[no answer]
white belt;Male;[no answer]
blue belt;Male;[bjj tour,naga]
blue belt;Male;[ibjjf,naga]
blue belt;Male;[ibjjf]
white belt;Male;[no answer]
black belt;Male;[fight 2 win,ibjjf]
purple belt;Male;[cfjjb,ibjjf]
brown belt;Female;[local]
blue belt;Female;[belgrade open]
black belt;Male;[grapplers quest,ibjjf,naga]
white belt;Male;[no answer]
blue belt;Male;[no answer]
blue belt;Male;[ibjjf]
white belt;Male;[ibjjf]
brown belt;Male;[adcc,naga]
black belt;Male;[ibjjf]
blue belt;Male;[no answer]
blue belt;Male;[good fight,naga,us grappling]
white belt;Male;[agf]
