current_belt;gender;athletes
blue belt;Male;['Kron Gracie']
purple belt;Male;['no answer']
white belt;Male;['Clark Gracie']
white belt;Male;['no answer']
blue belt;Male;['Kron Gracie', 'Leandro Lo', 'Marcelo Garcia', 'Roger Gracie']
white belt;Male;['no answer']
blue belt;Male;['no answer']
white belt;Female;['no answer']
white belt;Male;['no answer']
white belt;Male;['no answer']
blue belt;Female;['Kurt Osiander']
purple belt;Male;['Marcus Buchecha']
white belt;Male;['Eddie Cummings', 'Leandro Lo']
white belt;Male;"['Demian Maia', 'Leandro Lo', 'Marcelo Garcia', 'Romero ""Jacare"" Cavalcanti', 'Ronaldo ""Jacare"" Souza']"
purple belt;Male;['Garry Tonon', 'Geo Martinez']
blue belt;Male;['Mendes Bros', 'Rafael Mendes']
white belt;Male;['no answer']
purple belt;Male;"['Bernardo Faria', 'Marcus Buchecha', 'Leandro Lo', 'Marcelo Garcia', 'Romero ""Jacare"" Cavalcanti', 'Ronaldo ""Jacare"" Souza', 'Fernando ""Terere"" Augusto']"
blue belt;Male;['no answer']
blue belt;Male;['Glover Teixeira', 'Jeff Glover', 'Leandro Lo', 'Ryan Hall']
white belt;Male;['Demian Maia']
white belt;Male;['no answer']
blue belt;Male;"['Brandon ""Wolverine"" Mullins', 'Eddie Bravo', 'Gui Mendes', 'Mendes Bros', 'Rafael Mendes']"
purple belt;Male;['Leandro Lo', 'Marcelo Garcia']
purple belt;Male;['Eddie Cummings', 'Garry Tonon', 'John Danaher']
white belt;Male;['no answer']
white belt;Male;['Garry Tonon', 'Leandro Lo', 'Marcelo Garcia']
blue belt;Male;['Miyao Brothers']
blue belt;Male;['no answer']
purple belt;Male;"['James Puopolo', 'Leandro Lo', 'Marcelo Garcia', 'Romero ""Jacare"" Cavalcanti']"
white belt;Female;['Mackenzie Dern']
white belt;Male;"['Shinya Aoki', 'Garry Tonon', 'Keenan Cornelius', 'Romero ""Jacare"" Cavalcanti']"
blue belt;Male;['no answer']
white belt;Male;['no answer']
white belt;Male;['Percy Harvin']
white belt;Male;['Keenan Cornelius']
purple belt;Male;['no answer']
white belt;Male;['no answer']
blue belt;Male;['Garry Tonon', 'Kron Gracie', 'Leandro Lo', 'Marcelo Garcia', 'Rickson Gracie']
blue belt;Male;['Garry Tonon', 'Rafael Mendes', 'Ryan Hall']
white belt;Male;['no answer']
white belt;Male;['Eddie Cummings']
