current_belt;gender;least_favourite
white belt;Male;collar chokes
white belt;Male;I like everything
white belt;Male;sweat
white belt;Male;injuries
white belt;Male;warm ups
black belt;Male;sweat
blue belt;Male;drills
purple belt;Male;injuries
blue belt;Male;warm ups
blue belt;Male;injuries
purple belt;Male;warm ups
white belt;Male;warm ups
purple belt;Male;crowding on the mat
purple belt;Male;I disagree with the curriculum
blue belt;Male;classes too short
purple belt;Male;politics
purple belt;Male;injuries
white belt;Male;certain training partners
white belt;Male;gi burns
blue belt;Male;plateaus
black belt;Male;recovery
white belt;Male;injuries
white belt;Male;rolling
purple belt;Male;injuries
purple belt;Male;stretching
purple belt;Male;I like everything
blue belt;Male;warm ups
blue belt;Male;my confidence taking a hit
brown belt;Male;people who don't train hard
brown belt;Male;white belt dudes
white belt;Male;stretching
purple belt;Male;time commitment
blue belt;Male;injuries
blue belt;Male;injuries
black belt;Male;big egos
blue belt;Male;staying up too late after training
blue belt;Male;injuries
no rank;Male;big egos
blue belt;Male;agressive people
purple belt;Male;partner wants to talk instead of rolling
purple belt;Male;injuries
brown belt;Male;pain
blue belt;Male;conditioning
brown belt;Male;drills
black belt;Male;people who do not show up for training
blue belt;Male;rolling
blue belt;Male;smell / poor hygiene
purple belt;Male;injuries
black belt;Male;injuries
black belt;Male;takedowns
white belt;Male;warm ups
blue belt;Male;drills
brown belt;Male;I like everything
blue belt;Male;pain
white belt;Male;injuries
blue belt;Male;laundry
blue belt;Male;stretching
blue belt;Male;injuries
blue belt;Male;I like everything
white belt;Male;not getting the technique right away
black belt;Male;my old ass body
purple belt;Male;warm ups
brown belt;Female;I like everything
blue belt;Female;judo
black belt;Male;smell / poor hygiene
black belt;Male;sweat
white belt;Male;running
blue belt;Male;recovery
blue belt;Male;certain training partners
white belt;Male;warm ups
brown belt;Male;warm ups
black belt;Male;smell / poor hygiene
blue belt;Male;warm ups
blue belt;Male;losing
white belt;Male;pain
black belt;Female;people assuming a rank entitles you to some power
purple belt;Male;laundry
purple belt;Male;warm ups
white belt;Male;not getting the technique right away
blue belt;Male;injuries
white belt;Female;being the smallest
white belt;Female;rolling
brown belt;Male;people who don't train hard
blue belt;Female;white belt dudes
purple belt;Male;injuries
blue belt;Female;being the smallest
blue belt;Female;getting crushed
blue belt;Female;women
blue belt;Male;injuries
blue belt;Male;injuries
blue belt;Female;big egos
blue belt;Female;smell / poor hygiene
blue belt;Female;certain training partners
